SUB_NO_Prifix,Cell_ID_Risk_area,Cloned_IMEI_Flag,BN_Unsuccessful_IDD_Call,BN_IDD_SMS,IS_FRAUD,,,
929933,No,Not_Cloned,0,0,0,,,
118241,yes,Not_Cloned,0,0,0,,,
468855,yes,Not_Cloned,0,0,0,,,
944106,No,Not_Cloned,0,0,0,,,
118519,yes,Not_Cloned,0,0,0,,,
468341,yes,Cloned,1,0,0,,,
468430,yes,Not_Cloned,0,0,0,,,
118311,yes,Cloned,0,0,0,,,
578720,yes,Not_Cloned,0,1,0,,,
118528,yes,Not_Cloned,0,1,0,,,
912614,yes,Not_Cloned,0,1,0,,,
118453,yes,Not_Cloned,0,0,0,,,
118884,yes,Not_Cloned,0,1,0,,,
944064,No,Not_Cloned,1,1,0,,,
258664,No,Cloned,0,1,0,,,
958013,No,Not_Cloned,0,0,0,,,
967417,No,Not_Cloned,0,0,0,,,
910565,No,Not_Cloned,0,0,0,,,
944225,No,Not_Cloned,0,0,0,,,
913690,No,Not_Cloned,0,0,0,,,
118770,No,Not_Cloned,0,0,0,,,
929104,No,Not_Cloned,0,0,0,,,
118242,No,Not_Cloned,0,0,0,,,
929150,No,Not_Cloned,0,0,0,,,
944225,No,Not_Cloned,0,0,0,,,
118477,No,Not_Cloned,0,0,0,,,
911156,No,Not_Cloned,0,0,0,,,
468316,No,Not_Cloned,0,0,0,,,
929199,yes,Not_Cloned,0,0,0,,,
944164,yes,Not_Cloned,0,0,0,,,
468313,yes,Not_Cloned,0,0,0,,,
912018,yes,Cloned,0,0,0,,,
911466,yes,Cloned,0,0,0,,,
118671,yes,Cloned,0,0,0,,,
228121,yes,Cloned,0,0,0,,,
944066,yes,Cloned,0,0,0,,,
118687,yes,Cloned,0,0,0,,,
944123,yes,Cloned,0,0,0,,,
944142,yes,Not_Cloned,0,0,0,,,
578660,yes,Not_Cloned,0,0,0,,,
944124,yes,Not_Cloned,0,0,0,,,
929163,yes,Not_Cloned,0,0,0,,,
967892,No,Not_Cloned,0,0,0,,,
911336,No,Not_Cloned,0,0,0,,,
931636,No,Not_Cloned,0,0,0,,,
578904,No,Not_Cloned,0,0,0,,,
967892,No,Not_Cloned,0,0,0,,,
967882,No,Not_Cloned,0,0,0,,,
944136,No,Not_Cloned,0,0,0,,,
228115,yes,Not_Cloned,0,0,0,,,
578710,yes,Not_Cloned,0,0,0,,,
468941,yes,Not_Cloned,0,0,0,,,
118930,yes,Not_Cloned,0,0,0,,,
228905,yes,Not_Cloned,0,0,0,,,
468310,yes,Not_Cloned,0,0,0,,,
348671,yes,Not_Cloned,0,0,0,,,
118141,yes,Not_Cloned,0,0,0,,,
118405,yes,Not_Cloned,0,0,0,,,
929201,yes,Not_Cloned,0,0,0,,,
468250,yes,Not_Cloned,0,0,0,,,
118392,yes,Not_Cloned,0,0,0,,,
338403,yes,Not_Cloned,0,0,0,,,
944256,yes,Not_Cloned,0,0,0,,,
944142,yes,Not_Cloned,0,0,0,,,
911171,yes,Not_Cloned,0,0,0,,,
118233,No,Not_Cloned,0,0,0,,,
118673,No,Not_Cloned,0,0,0,,,
338549,No,Not_Cloned,0,0,0,,,
911185,No,Not_Cloned,0,0,0,,,
912080,No,Not_Cloned,0,0,0,,,
118763,No,Not_Cloned,0,0,0,,,
911126,No,Not_Cloned,2,0,0,,,
118108,No,Cloned,0,0,0,,,
967882,No,Not_Cloned,0,0,0,,,
118361,No,Not_Cloned,0,0,0,,,
946688,No,Not_Cloned,0,0,0,,,
939100,No,Not_Cloned,0,0,0,,,
929151,No,Cloned,0,0,0,,,
258121,No,Not_Cloned,0,0,0,,,
118898,No,Not_Cloned,0,0,0,,,
118902,No,Cloned,0,0,0,,,
944123,No,Not_Cloned,0,0,0,,,
944260,No,Not_Cloned,0,0,0,,,
913021,No,Not_Cloned,0,0,0,,,
930338,No,Not_Cloned,0,0,0,,,
944117,No,Not_Cloned,0,0,0,,,
966921,No,Not_Cloned,0,0,0,,,
228311,No,Not_Cloned,0,0,0,,,
118518,No,Not_Cloned,0,0,0,,,
944142,No,Not_Cloned,0,0,0,,,
911734,No,Not_Cloned,0,0,0,,,
912956,No,Not_Cloned,0,0,0,,,
913697,No,Not_Cloned,0,0,0,,,
118547,No,Not_Cloned,0,0,0,,,
912618,No,Not_Cloned,0,0,0,,,
118658,No,Not_Cloned,0,0,0,,,
478562,No,Not_Cloned,0,0,0,,,
118849,No,Not_Cloned,0,0,0,,,
118240,No,Not_Cloned,0,0,0,,,
118305,No,Not_Cloned,0,0,0,,,
118208,No,Not_Cloned,0,0,0,,,
478114,No,Not_Cloned,0,0,0,,,
944098,No,Not_Cloned,0,0,0,,,
588270,No,Not_Cloned,0,0,0,,,
118587,No,Not_Cloned,0,0,0,,,
258754,No,Not_Cloned,0,0,0,,,
944139,No,Not_Cloned,0,0,0,,,
338649,No,Not_Cloned,0,0,0,,,
913633,No,Not_Cloned,0,0,0,,,
118311,No,Cloned,0,0,0,,,
944164,No,Not_Cloned,0,0,0,,,
944100,No,Not_Cloned,0,0,0,,,
578614,No,Not_Cloned,0,0,0,,,
118661,No,Not_Cloned,0,0,0,,,
468855,No,Not_Cloned,0,0,0,,,
967900,No,Not_Cloned,0,0,0,,,
118115,No,Not_Cloned,0,0,0,,,
118411,No,Not_Cloned,0,0,0,,,
118381,No,Not_Cloned,0,0,0,,,
118446,No,Not_Cloned,0,0,0,,,
929156,No,Not_Cloned,0,0,0,,,
578904,No,Not_Cloned,0,0,0,,,
118311,No,Not_Cloned,0,0,0,,,
588995,No,Not_Cloned,0,0,0,,,
118657,No,Not_Cloned,0,0,0,,,
468460,No,Not_Cloned,0,0,0,,,
929021,Yes,Not_Cloned,0,0,0,,,
468209,Yes,Not_Cloned,0,0,0,,,
468200,Yes,Not_Cloned,0,0,0,,,
966950,Yes,Not_Cloned,0,0,0,,,
118830,Yes,Not_Cloned,0,0,0,,,
930593,Yes,Not_Cloned,0,0,0,,,
588992,Yes,Not_Cloned,0,0,0,,,
468242,Yes,Not_Cloned,0,0,0,,,
118306,Yes,Cloned,0,0,0,,,
118381,Yes,Not_Cloned,0,0,0,,,
958073,Yes,Not_Cloned,0,0,0,,,
911152,Yes,Not_Cloned,0,0,0,,,
588744,Yes,Not_Cloned,0,0,0,,,
118388,Yes,Not_Cloned,0,0,0,,,
578902,Yes,Not_Cloned,0,0,0,,,
944141,Yes,Not_Cloned,0,0,0,,,
118884,Yes,Not_Cloned,0,0,0,,,
228904,Yes,Not_Cloned,0,0,0,,,
348444,Yes,Not_Cloned,0,0,0,,,
911131,Yes,Not_Cloned,0,0,0,,,
118381,Yes,Not_Cloned,0,0,0,,,
118142,Yes,Not_Cloned,0,0,0,,,
935319,Yes,Not_Cloned,0,0,0,,,
913685,Yes,Not_Cloned,0,0,0,,,
338120,Yes,Cloned,0,0,0,,,
468208,Yes,Not_Cloned,0,0,0,,,
118311,Yes,Not_Cloned,0,0,0,,,
228160,Yes,Not_Cloned,0,0,0,,,
118663,Yes,Not_Cloned,0,0,0,,,
118345,Yes,Not_Cloned,0,0,0,,,
923519,Yes,Not_Cloned,0,0,0,,,
947358,Yes,Not_Cloned,0,0,0,,,
977311,Yes,Cloned,0,0,0,,,
922467,Yes,Not_Cloned,0,0,0,,,
944123,Yes,Not_Cloned,0,0,0,,,
931144,Yes,Not_Cloned,0,0,0,,,
913212,Yes,Not_Cloned,0,0,0,,,
912446,Yes,Not_Cloned,0,0,0,,,
966939,Yes,Not_Cloned,0,0,0,,,
943658,Yes,Not_Cloned,0,0,0,,,
118528,Yes,Not_Cloned,0,0,0,,,
944053,Yes,Not_Cloned,0,0,0,,,
118406,Yes,Not_Cloned,0,0,0,,,
911801,Yes,Not_Cloned,0,0,0,,,
966915,Yes,Not_Cloned,0,0,0,,,
944143,Yes,Cloned,0,0,0,,,
912852,Yes,Cloned,0,0,0,,,
118118,Yes,Not_Cloned,0,0,0,,,
910561,Yes,Not_Cloned,0,0,0,,,
913286,Yes,Not_Cloned,0,0,0,,,
588750,Yes,Not_Cloned,0,0,0,,,
911395,Yes,Not_Cloned,0,0,0,,,
944122,Yes,Not_Cloned,0,0,0,,,
911175,Yes,Not_Cloned,0,0,0,,,
917634,Yes,Not_Cloned,0,0,0,,,
929199,Yes,Cloned,0,0,0,,,
944066,Yes,Not_Cloned,0,0,0,,,
912677,Yes,Not_Cloned,0,0,0,,,
944116,Yes,Not_Cloned,0,0,0,,,
228991,Yes,Not_Cloned,0,0,0,,,
944155,Yes,Not_Cloned,0,0,0,,,
118406,Yes,Not_Cloned,0,0,0,,,
944164,Yes,Not_Cloned,0,0,0,,,
944131,Yes,Not_Cloned,0,0,0,,,
118138,Yes,Not_Cloned,0,0,0,,,
118332,Yes,Not_Cloned,0,0,0,,,
118899,Yes,Not_Cloned,0,0,0,,,
118651,Yes,Not_Cloned,0,0,0,,,
966944,Yes,Not_Cloned,0,0,0,,,
912647,Yes,Not_Cloned,0,0,0,,,
118410,Yes,Not_Cloned,0,0,0,,,
468205,Yes,Not_Cloned,0,0,0,,,
118321,Yes,Not_Cloned,0,0,0,,,
118292,Yes,Not_Cloned,0,0,0,,,
468216,Yes,Not_Cloned,0,0,0,,,
911618,Yes,Not_Cloned,0,0,0,,,
118272,Yes,Not_Cloned,0,0,0,,,
478355,Yes,Not_Cloned,0,0,0,,,
338220,Yes,Cloned,0,0,0,,,
944116,Yes,Not_Cloned,0,0,0,,,
118668,Yes,Not_Cloned,0,0,0,,,
118440,Yes,Not_Cloned,0,0,0,,,
118115,Yes,Not_Cloned,0,0,0,,,
118830,Yes,Not_Cloned,0,0,0,,,
118265,Yes,Not_Cloned,0,0,0,,,
468212,Yes,Not_Cloned,0,0,0,,,
258617,Yes,Not_Cloned,0,0,0,,,
944099,Yes,Not_Cloned,0,0,0,,,
118816,Yes,Cloned,0,0,0,,,
478114,Yes,Not_Cloned,0,0,0,,,
959204,Yes,Not_Cloned,0,0,0,,,
118252,Yes,Not_Cloned,0,0,0,,,
228160,Yes,Not_Cloned,0,0,0,,,
944063,Yes,Not_Cloned,0,0,0,,,
912348,Yes,Cloned,0,0,0,,,
348445,Yes,Not_Cloned,0,0,0,,,
578559,Yes,Not_Cloned,0,0,0,,,
118107,Yes,Not_Cloned,0,0,0,,,
944261,Yes,Not_Cloned,0,0,0,,,
944063,Yes,Not_Cloned,0,0,0,,,
578641,Yes,Not_Cloned,0,0,0,,,
118641,Yes,Not_Cloned,0,0,0,,,
118451,Yes,Not_Cloned,0,0,0,,,
468205,Yes,Not_Cloned,0,0,0,,,
911887,Yes,Not_Cloned,0,0,0,,,
118847,Yes,Not_Cloned,0,0,0,,,
118463,Yes,Not_Cloned,0,0,0,,,
118318,Yes,Not_Cloned,0,0,0,,,
966942,Yes,Not_Cloned,0,0,0,,,
588619,Yes,Not_Cloned,0,0,0,,,
118204,Yes,Not_Cloned,0,0,0,,,
118116,Yes,Not_Cloned,0,0,0,,,
944063,Yes,Cloned,0,0,0,,,
468312,Yes,Not_Cloned,0,0,0,,,
118258,Yes,Cloned,0,0,0,,,
966836,Yes,Not_Cloned,0,0,0,,,
468857,Yes,Not_Cloned,0,0,0,,,
118383,Yes,Not_Cloned,0,0,0,,,
911190,Yes,Not_Cloned,0,0,0,,,
478519,Yes,Not_Cloned,0,0,0,,,
912410,Yes,Not_Cloned,0,0,0,,,
228655,Yes,Not_Cloned,0,0,0,,,
228940,Yes,Not_Cloned,0,0,0,,,
588115,Yes,Not_Cloned,0,0,0,,,
468204,Yes,Not_Cloned,0,0,0,,,
468514,Yes,Not_Cloned,0,0,0,,,
468108,Yes,Not_Cloned,0,0,0,,,
118338,Yes,Not_Cloned,0,0,0,,,
118775,Yes,Not_Cloned,0,0,0,,,
578904,Yes,Not_Cloned,0,0,0,,,
578617,Yes,Cloned,0,0,0,,,
468150,Yes,Not_Cloned,0,0,0,,,
118659,Yes,Not_Cloned,0,0,0,,,
228117,Yes,Cloned,0,0,0,,,
228941,Yes,Not_Cloned,0,0,0,,,
118899,Yes,Not_Cloned,0,0,0,,,
118512,Yes,Not_Cloned,0,0,0,,,
944131,Yes,Not_Cloned,0,0,0,,,
118688,Yes,Not_Cloned,0,0,0,,,
944099,Yes,Not_Cloned,0,0,0,,,
478114,Yes,Not_Cloned,0,0,0,,,
965206,Yes,Not_Cloned,0,0,0,,,
961292,Yes,Not_Cloned,0,0,0,,,
929287,Yes,Not_Cloned,0,0,0,,,
920578,Yes,Not_Cloned,0,0,0,,,
944140,Yes,Not_Cloned,0,0,0,,,
478124,Yes,Not_Cloned,0,0,0,,,
118841,Yes,Not_Cloned,0,0,0,,,
468108,Yes,Not_Cloned,0,0,0,,,
468410,Yes,Not_Cloned,0,0,0,,,
118780,Yes,Not_Cloned,0,0,0,,,
911439,Yes,Not_Cloned,0,0,0,,,
118661,Yes,Not_Cloned,0,0,0,,,
468150,Yes,Not_Cloned,0,0,0,,,
478355,Yes,Not_Cloned,0,0,0,,,
967787,Yes,Not_Cloned,0,0,0,,,
118608,Yes,Not_Cloned,0,0,0,,,
118203,Yes,Not_Cloned,0,0,0,,,
118258,Yes,Not_Cloned,0,0,0,,,
912630,Yes,Not_Cloned,0,0,0,,,
935350,Yes,Not_Cloned,0,0,0,,,
478115,Yes,Not_Cloned,0,0,0,,,
118108,Yes,Not_Cloned,0,0,0,,,
966846,Yes,Not_Cloned,0,0,0,,,
118484,Yes,Not_Cloned,0,0,0,,,
338662,Yes,Not_Cloned,0,0,0,,,
911966,Yes,Not_Cloned,0,0,0,,,
944262,Yes,Not_Cloned,0,0,0,,,
468340,Yes,Not_Cloned,0,0,0,,,
944261,Yes,Not_Cloned,0,0,0,,,
911618,Yes,Not_Cloned,0,0,0,,,
258127,Yes,Not_Cloned,0,0,0,,,
913615,Yes,Cloned,0,0,0,,,
944109,Yes,Not_Cloned,0,0,0,,,
118308,Yes,Not_Cloned,0,0,0,,,
118810,Yes,Not_Cloned,0,0,0,,,
922099,Yes,Not_Cloned,0,0,0,,,
929149,Yes,Not_Cloned,0,0,0,,,
944256,Yes,Not_Cloned,0,0,0,,,
118321,Yes,Not_Cloned,0,0,0,,,
923298,Yes,Not_Cloned,0,0,0,,,
913608,Yes,Not_Cloned,0,0,0,,,
966952,Yes,Not_Cloned,0,0,0,,,
118112,Yes,Not_Cloned,0,0,0,,,
920562,Yes,Not_Cloned,0,0,0,,,
118786,Yes,Not_Cloned,0,0,0,,,
118117,Yes,Not_Cloned,0,0,0,,,
588610,Yes,Not_Cloned,0,0,0,,,
118519,Yes,Not_Cloned,0,0,0,,,
118462,Yes,Not_Cloned,0,0,0,,,
228905,Yes,Not_Cloned,0,0,0,,,
929189,Yes,Not_Cloned,0,0,0,,,
478907,Yes,Not_Cloned,0,0,0,,,
228113,Yes,Not_Cloned,0,0,0,,,
228655,Yes,Not_Cloned,0,0,0,,,
118476,Yes,Not_Cloned,0,0,0,,,
478410,Yes,Not_Cloned,0,0,0,,,
944098,Yes,Cloned,0,0,0,,,
944256,Yes,Not_Cloned,0,0,0,,,
118663,Yes,Not_Cloned,0,0,0,,,
468107,Yes,Not_Cloned,0,0,0,,,
118502,Yes,Not_Cloned,0,0,0,,,
118263,Yes,Not_Cloned,0,0,0,,,
913298,Yes,Not_Cloned,0,0,0,,,
944130,Yes,Not_Cloned,0,0,0,,,
944256,Yes,Cloned,0,0,0,,,
118656,Yes,Not_Cloned,0,0,0,,,
958604,Yes,Not_Cloned,0,0,0,,,
929150,Yes,Not_Cloned,0,0,0,,,
118244,Yes,Not_Cloned,0,0,0,,,
228905,Yes,Not_Cloned,0,0,0,,,
468217,Yes,Not_Cloned,0,0,0,,,
118318,Yes,Not_Cloned,0,0,0,,,
478130,Yes,Not_Cloned,0,0,0,,,
118586,Yes,Not_Cloned,0,0,0,,,
929205,Yes,Not_Cloned,0,0,0,,,
960291,Yes,Not_Cloned,0,0,0,,,
478590,Yes,Not_Cloned,0,0,0,,,
118115,Yes,Not_Cloned,0,0,0,,,
118762,Yes,Not_Cloned,0,0,0,,,
118462,Yes,Not_Cloned,0,0,0,,,
944109,Yes,Not_Cloned,0,0,0,,,
118314,Yes,Not_Cloned,0,0,0,,,
118409,Yes,Not_Cloned,0,0,0,,,
118119,Yes,Not_Cloned,0,0,0,,,
912614,Yes,Not_Cloned,0,0,0,,,
118115,Yes,Not_Cloned,0,0,0,,,
944060,Yes,Not_Cloned,0,0,0,,,
118281,Yes,Cloned,0,0,0,,,
578552,Yes,Cloned,0,0,0,,,
118130,Yes,Cloned,0,0,0,,,
966683,Yes,Not_Cloned,0,0,0,,,
118585,Yes,Not_Cloned,0,0,0,,,
118691,Yes,Cloned,0,0,0,,,
118770,Yes,Not_Cloned,0,0,0,,,
118882,Yes,Not_Cloned,0,0,0,,,
228942,Yes,Not_Cloned,0,0,0,,,
468205,Yes,Not_Cloned,0,0,0,,,
118588,Yes,Not_Cloned,0,0,0,,,
118386,Yes,Not_Cloned,0,0,0,,,
118389,Yes,Not_Cloned,0,0,0,,,
118137,Yes,Not_Cloned,0,0,0,,,
118846,Yes,Not_Cloned,0,0,0,,,
929153,Yes,Not_Cloned,0,0,0,,,
478210,Yes,Not_Cloned,0,0,0,,,
118627,Yes,Not_Cloned,0,0,0,,,
118882,Yes,Not_Cloned,0,0,0,,,
118385,Yes,Not_Cloned,0,0,0,,,
468430,Yes,Not_Cloned,0,0,0,,,
118648,Yes,Not_Cloned,0,0,0,,,
118761,Yes,Not_Cloned,0,0,0,,,
118770,Yes,Not_Cloned,0,0,0,,,
478110,Yes,Not_Cloned,0,0,0,,,
468105,Yes,Not_Cloned,0,0,0,,,
588113,Yes,Not_Cloned,0,0,0,,,
944105,Yes,Not_Cloned,0,0,0,,,
929021,Yes,Not_Cloned,0,0,0,,,
478121,Yes,Not_Cloned,1,0,0,,,
912698,Yes,Not_Cloned,1,0,0,,,
578559,Yes,Not_Cloned,1,0,0,,,
118920,Yes,Not_Cloned,1,0,0,,,
348448,Yes,Not_Cloned,1,0,0,,,
468212,Yes,Not_Cloned,1,0,0,,,
478122,Yes,Not_Cloned,1,0,0,,,
258612,Yes,Not_Cloned,1,0,0,,,
578711,Yes,Not_Cloned,1,0,0,,,
118628,Yes,Not_Cloned,1,0,0,,,
118760,Yes,Not_Cloned,1,0,0,,,
478121,Yes,Not_Cloned,1,0,0,,,
118882,Yes,Not_Cloned,1,0,0,,,
118142,Yes,Not_Cloned,1,0,0,,,
118248,Yes,Not_Cloned,1,0,0,,,
118385,Yes,Not_Cloned,1,0,0,,,
966951,Yes,Not_Cloned,1,0,0,,,
910588,Yes,Not_Cloned,1,0,0,,,
118686,Yes,Not_Cloned,1,0,0,,,
118682,Yes,Not_Cloned,1,0,0,,,
944255,Yes,Not_Cloned,1,0,0,,,
929144,Yes,Not_Cloned,1,0,0,,,
929188,Yes,Not_Cloned,1,0,0,,,
929166,Yes,Not_Cloned,1,0,0,,,
118515,Yes,Not_Cloned,0,0,0,,,
958003,Yes,Cloned,0,0,0,,,
118715,Yes,Not_Cloned,0,0,0,,,
118404,Yes,Not_Cloned,0,0,0,,,
118338,Yes,Not_Cloned,0,0,0,,,
118775,Yes,Not_Cloned,0,0,0,,,
118526,Yes,Not_Cloned,0,0,0,,,
478900,Yes,Not_Cloned,0,0,0,,,
118810,Yes,Not_Cloned,0,0,0,,,
944255,Yes,Not_Cloned,0,0,0,,,
228440,Yes,Not_Cloned,0,0,0,,,
478357,Yes,Cloned,0,0,0,,,
118882,Yes,Not_Cloned,0,0,0,,,
478114,Yes,Not_Cloned,0,0,0,,,
468941,Yes,Not_Cloned,0,0,0,,,
911432,Yes,Not_Cloned,0,0,0,,,
958045,Yes,Not_Cloned,0,0,0,,,
118324,Yes,Not_Cloned,0,0,0,,,
118468,Yes,Not_Cloned,0,0,0,,,
118411,Yes,Not_Cloned,0,0,0,,,
911167,Yes,Not_Cloned,0,0,0,,,
118284,Yes,Not_Cloned,0,0,0,,,
468941,Yes,Not_Cloned,0,0,0,,,
923982,Yes,Not_Cloned,0,0,0,,,
478355,Yes,Not_Cloned,0,0,0,,,
118116,Yes,Not_Cloned,0,0,0,,,
228640,Yes,Not_Cloned,0,0,0,,,
468315,Yes,Cloned,0,0,0,,,
118509,Yes,Not_Cloned,0,0,0,,,
588999,Yes,Not_Cloned,0,0,0,,,
118632,Yes,Not_Cloned,0,0,0,,,
929212,Yes,Not_Cloned,0,0,0,,,
944142,Yes,Cloned,0,0,0,,,
911752,Yes,Not_Cloned,0,0,0,,,
941900,Yes,Not_Cloned,0,0,0,,,
911019,Yes,Not_Cloned,0,0,0,,,
118116,Yes,Not_Cloned,0,0,0,,,
912972,Yes,Not_Cloned,0,0,0,,,
959403,Yes,Not_Cloned,0,0,0,,,
944123,Yes,Not_Cloned,0,0,0,,,
922947,Yes,Not_Cloned,0,0,0,,,
911537,Yes,Not_Cloned,0,0,0,,,
959402,Yes,Not_Cloned,0,0,0,,,
944131,Yes,Not_Cloned,0,0,0,,,
944747,Yes,Not_Cloned,0,0,0,,,
929198,Yes,Cloned,0,0,0,,,
944141,Yes,Not_Cloned,0,0,0,,,
944254,Yes,Not_Cloned,0,0,0,,,
944065,Yes,Not_Cloned,0,0,0,,,
911918,Yes,Not_Cloned,0,0,0,,,
118380,Yes,Not_Cloned,0,0,0,,,
966950,Yes,Not_Cloned,0,0,0,,,
947456,Yes,Cloned,0,0,0,,,
118586,Yes,Not_Cloned,0,0,0,,,
944134,Yes,Not_Cloned,0,0,0,,,
944132,Yes,Not_Cloned,0,0,0,,,
944119,Yes,Not_Cloned,0,0,0,,,
118541,Yes,Not_Cloned,0,0,0,,,
911669,Yes,Not_Cloned,0,0,0,,,
966922,Yes,Not_Cloned,0,0,0,,,
118380,Yes,Not_Cloned,0,0,0,,,
118364,Yes,Not_Cloned,0,0,0,,,
944141,Yes,Not_Cloned,0,0,0,,,
118702,Yes,Not_Cloned,0,0,0,,,
911473,Yes,Not_Cloned,0,0,0,,,
911872,Yes,Not_Cloned,0,0,0,,,
911182,Yes,Not_Cloned,0,0,0,,,
911560,Yes,Not_Cloned,0,0,0,,,
936155,Yes,Not_Cloned,0,0,0,,,
118906,Yes,Not_Cloned,0,0,0,,,
118443,Yes,Cloned,0,0,0,,,
118410,Yes,Not_Cloned,0,0,0,,,
118474,Yes,Not_Cloned,0,0,0,,,
912627,Yes,Not_Cloned,12,0,0,,,
944092,Yes,Not_Cloned,0,0,0,,,
944053,Yes,Not_Cloned,0,0,0,,,
